sentence1,sentence2,score
Jarang menggunakan aplikasi ojek online untuk jalan-jalan,Jarang menggunakan aplikasi taksi online untuk jalan-jalan,0.0
Suka menggunakan Gojek untuk membeli makanan dari restoran,Suka menggunakan Grab untuk membeli makanan dari restoran,0.0
Senang menggunakan Gojek karena lebih fleksibel,Senang menggunakan Grab karena lebih mudah diakses,0.0
Pernah menggunakan Gojek untuk pergi ke luar kota,Pernah menggunakan Grab untuk pergi ke luar kota,0.0
Sering menggunakan Gojek untuk ke tempat makan favorit,Sering menggunakan Grab untuk ke tempat makan favorit,0.0
Jarang menggunakan Gojek untuk kirim dokumen,Jarang menggunakan Grab untuk kirim dokumen,0.0
Suka menggunakan Gojek karena banyak pilihan layanan,Suka menggunakan Grab karena lebih cepat sampai,0.0
Senang menggunakan aplikasi Gojek untuk perjalanan jauh,Senang menggunakan aplikasi Grab untuk perjalanan jauh,0.0
Pernah menggunakan Gojek untuk mengirim barang ke luar kota,Pernah menggunakan Grab untuk mengirim barang ke luar kota,0.0
Sering menggunakan Gojek untuk pesan makanan,Sering menggunakan Grab untuk pesan makanan,0.0
Jarang menggunakan Gojek untuk antar barang,Jarang menggunakan Grab untuk antar barang,0.0
Suka menggunakan Gojek untuk perjalanan antar kota,Suka menggunakan Grab untuk perjalanan antar kota,0.0
Senang menggunakan Gojek untuk pergi ke acara keluarga,Senang menggunakan Grab untuk pergi ke acara keluarga,0.0
Pernah menggunakan Gojek untuk ke luar negeri,Pernah menggunakan Grab untuk ke luar negeri,0.0
Tidak pernah menggunakan Gojek untuk ke sekolah,Tidak pernah menggunakan Grab untuk ke sekolah,0.0
Sering menggunakan Gojek untuk menghindari kemacetan,Sering menggunakan Grab untuk menghindari kemacetan,0.0
Jarang menggunakan Gojek untuk pergi ke tempat wisata,Jarang menggunakan Grab untuk pergi ke tempat wisata,0.0
Suka menggunakan Gojek karena ramah lingkungan,Suka menggunakan Grab karena ramah lingkungan,0.0
Senang menggunakan Gojek karena tersedia di banyak tempat,Senang menggunakan Grab karena tersedia di banyak tempat,0.0
Pernah menggunakan Gojek untuk ke bandara internasional,Pernah menggunakan Grab untuk ke bandara internasional,0.0
Sering menggunakan Gojek untuk beli kopi,Sering menggunakan Grab untuk beli kopi,0.0
Jarang menggunakan Gojek untuk ke pusat perbelanjaan,Jarang menggunakan Grab untuk ke pusat perbelanjaan,0.0
Suka menggunakan Gojek karena banyak promo,Suka menggunakan Grab karena banyak promo,0.0
Senang menggunakan Gojek karena lebih praktis,Senang menggunakan Grab karena lebih praktis,0.0
Pernah menggunakan Gojek untuk perjalanan bisnis internasional,Pernah menggunakan Grab untuk perjalanan bisnis internasional,0.0
Tidak menggunakan Gojek untuk mengirim barang berat,Tidak menggunakan Grab untuk mengirim barang berat,0.0
Sering menggunakan Gojek untuk perjalanan singkat,Sering menggunakan Grab untuk perjalanan singkat,0.0
Jarang menggunakan Gojek untuk bepergian ke luar kota,Jarang menggunakan Grab untuk bepergian ke luar kota,0.0
Suka menggunakan Gojek untuk pergi ke pusat hiburan,Suka menggunakan Grab untuk pergi ke pusat hiburan,0.0
Senang menggunakan Gojek karena hemat waktu,Senang menggunakan Grab karena hemat waktu,0.0
Pernah menggunakan Gojek untuk memesan makanan lewat aplikasi,Pernah menggunakan Grab untuk memesan makanan lewat aplikasi,0.0
Sering menggunakan Gojek untuk perjalanan malam,Sering menggunakan Grab untuk perjalanan malam,0.0
Jarang menggunakan Gojek untuk transportasi umum,Jarang menggunakan Grab untuk transportasi umum,0.0
Suka menggunakan Gojek karena bisa pesan dengan cepat,Suka menggunakan Grab karena bisa pesan dengan cepat,0.0
Senang menggunakan Gojek karena biaya terjangkau,Senang menggunakan Grab karena biaya terjangkau,0.0
Pernah menggunakan Gojek untuk menghindari hujan,Pernah menggunakan Grab untuk menghindari hujan,0.0
Tidak pernah menggunakan Gojek untuk ke rumah teman,Tidak pernah menggunakan Grab untuk ke rumah teman,0.0
Sering menggunakan Gojek untuk pergi ke tempat kerja,Sering menggunakan Grab untuk pergi ke tempat kerja,0.0
Jarang menggunakan Gojek untuk perjalanan panjang,Jarang menggunakan Grab untuk perjalanan panjang,0.0
Suka menggunakan Gojek untuk transportasi sehari-hari,Suka menggunakan Grab untuk transportasi sehari-hari,0.0
Senang menggunakan Gojek untuk pergi ke tempat makan favorit,Senang menggunakan Grab untuk pergi ke tempat makan favorit,0.0
Pernah menggunakan Gojek untuk berpergian bersama teman-teman,Pernah menggunakan Grab untuk berpergian bersama teman-teman,0.0
Sering menggunakan Gojek untuk membeli makanan online,Sering menggunakan Grab untuk membeli makanan online,0.0
Jarang menggunakan Gojek untuk pergi ke luar negeri,Jarang menggunakan Grab untuk pergi ke luar negeri,0.0
Suka menggunakan Gojek karena banyak pilihan kendaraan,Suka menggunakan Grab karena banyak pilihan kendaraan,0.0
Senang menggunakan Gojek untuk pesan makanan melalui aplikasi,Senang menggunakan Grab untuk pesan makanan melalui aplikasi,0.0
Pernah menggunakan Gojek untuk ke pusat kebugaran,Pernah menggunakan Grab untuk ke pusat kebugaran,0.0
Sering menjalankan bisnis online,Sering menjalankan bisnis offline,0.0
Jarang memiliki usaha sampingan,Jarang memiliki usaha utama,0.0
Suka memiliki usaha sendiri,Suka bekerja di perusahaan besar,0.0
Senang berbisnis di bidang kuliner,Senang bekerja di bidang teknologi,0.0
Pernah memiliki toko online,Pernah memiliki toko fisik,0.0
Tidak memiliki usaha kecil,Tidak memiliki usaha besar,0.0
Sering berbisnis di bidang fashion,Sering berbisnis di bidang makanan,0.0
Jarang mengelola bisnis makanan,Jarang mengelola bisnis teknologi,0.0
Suka berbisnis dengan cara online,Suka berbisnis dengan cara offline,0.0
Senang menjual produk lokal,Senang menjual produk impor,0.0
Pernah memiliki bisnis fashion,Pernah memiliki bisnis teknologi,0.0
Sering mengikuti seminar bisnis,Sering mengikuti kursus pemasaran,0.0
Jarang mendapatkan keuntungan besar dari bisnis,Jarang mendapat keuntungan kecil dari bisnis,0.0
Suka membuka toko online,Suka membuka toko fisik,0.0
Senang menjalankan usaha sendiri tanpa partner,Senang menjalankan usaha dengan partner,0.0
Pernah mengalami kegagalan dalam bisnis,Pernah mengalami kesuksesan dalam bisnis,0.0
Tidak pernah mengikuti pelatihan bisnis,Tidak pernah mengikuti workshop kewirausahaan,0.0
Sering memperkenalkan produk baru,Sering menawarkan diskon produk lama,0.0
Jarang mendapati pelanggan setia,Jarang mendapat pelanggan baru,0.0
Suka berinovasi dalam bisnis,Suka mengikuti tren bisnis yang ada,0.0
Senang berbisnis dalam dunia pendidikan,Senang berbisnis dalam dunia hiburan,0.0
Pernah memiliki usaha digital marketing,Pernah memiliki usaha produk fisik,0.0
Sering berdiskusi dengan sesama pengusaha,Sering berdiskusi dengan pelanggan langsung,0.0
Jarang memanfaatkan media sosial untuk berbisnis,Jarang menggunakan website untuk berbisnis,0.0
Suka memberi promo untuk menarik pembeli,Suka memberi bonus untuk menarik pembeli,0.0
Senang bekerja keras untuk mengembangkan bisnis,Senang menikmati hasil usaha tanpa terlalu bekerja keras,0.0
Pernah memiliki lebih dari satu usaha dalam waktu bersamaan,Pernah hanya fokus menjalankan satu usaha saja,0.0
Tidak pernah mendapatkan modal dari investor,Tidak pernah mendapatkan modal dari bank,0.0
Sering menggunakan jasa pengiriman untuk bisnis,Sering menggunakan jasa kurir pribadi untuk bisnis,0.0
Jarang memiliki karyawan tetap,Jarang memiliki karyawan paruh waktu,0.0
Suka memberikan pelayanan yang ramah kepada pelanggan,Suka memberikan pelayanan yang cepat kepada pelanggan,0.0
Senang mengelola toko online sendiri,Senang mengelola toko fisik dengan banyak karyawan,0.0
Pernah menjalankan bisnis makanan sehat,Pernah menjalankan bisnis makanan cepat saji,0.0
Sering melakukan riset pasar untuk bisnis,Sering mengikuti acara pameran bisnis,0.0
Jarang memanfaatkan aplikasi untuk jualan,Jarang menggunakan platform digital untuk usaha,0.0
Suka mencoba berbagai model bisnis,Suka mengikuti satu jenis model bisnis saja,0.0
Senang bekerja sama dengan distributor besar,Senang bekerja sama dengan supplier kecil,0.0
Pernah memiliki usaha percetakan,Pernah memiliki usaha pakaian custom,0.0
Tidak pernah menjual barang dalam jumlah besar,Tidak pernah menjual barang dalam jumlah kecil,0.0
Sering memanfaatkan peluang pasar untuk berkembang,Sering berinovasi dalam produk bisnis,0.0
Jarang memulai bisnis tanpa modal besar,Jarang memulai bisnis dengan dana terbatas,0.0
Suka memperkenalkan brand kepada masyarakat,Suka memperkenalkan produk baru kepada pelanggan,0.0
Senang menjual produk secara langsung ke konsumen,Senang menjual produk melalui distributor,0.0
Pernah mencoba menjalankan bisnis berbasis aplikasi,Pernah mencoba menjalankan bisnis berbasis toko fisik,0.0
Sering berbicara tentang bisnis kepada orang lain,Sering berbicara tentang teknologi kepada orang lain,0.0
Jarang memberikan diskon untuk produk baru,Jarang memberi potongan harga untuk produk lama,0.0
Suka memulai bisnis dari hobi,Suka memulai bisnis dari pengalaman kerja,0.0
Senang berinovasi dengan produk terbaru,Senang menawarkan produk yang sudah dikenal,0.0
Pernah memulai bisnis dengan teman,Pernah memulai bisnis sendirian,0.0
Tidak pernah membuka bisnis di luar negeri,Tidak pernah membuka bisnis di kota lain,0.0
Sering memberikan kesempatan untuk karyawan berkembang,Sering memberikan kesempatan untuk karyawan bekerja lebih keras,0.0
Jarang menggunakan influencer untuk mempromosikan produk,Jarang menggunakan selebriti untuk mempromosikan produk,0.0
Suka berbisnis dengan cara yang inovatif,Suka berbisnis dengan cara yang sudah teruji,0.0
Senang bekerja sama dengan perusahaan besar,Senang bekerja sama dengan perusahaan kecil,0.0
Pernah mengalami kerugian besar dalam bisnis,Pernah mengalami keuntungan besar dalam bisnis,0.0
Sering beradaptasi dengan perubahan pasar,Sering mempertahankan produk yang sama,0.0
Jarang mengubah strategi pemasaran,Jarang mengganti cara promosi,0.0
Suka menawarkan produk yang ramah lingkungan,Suka menawarkan produk yang praktis,0.0
Senang menjaga hubungan baik dengan pelanggan,Senang menjaga hubungan baik dengan supplier,0.0
Pernah membangun usaha dari nol,Pernah membeli usaha yang sudah ada,0.0
Tidak pernah menggunakan platform digital untuk pemasaran,Tidak pernah menggunakan media sosial untuk pemasaran,0.0
Sering mendapatkan feedback positif dari pelanggan,Sering mendapatkan feedback negatif dari pelanggan,0.0
Jarang menggunakan jasa pengiriman internasional,Jarang menggunakan jasa pengiriman lokal,0.0
Suka mengikuti tren bisnis terbaru,Suka mengikuti cara bisnis yang sudah terbukti,0.0
Senang menggunakan sistem pembayaran digital dalam bisnis,Senang menggunakan sistem pembayaran tunai dalam bisnis,0.0
Pernah memanfaatkan program loyalitas pelanggan,Pernah memanfaatkan promo diskon untuk pelanggan,0.0
Sering berbisnis dengan mitra luar negeri,Sering berbisnis dengan mitra lokal,0.0
Jarang mencoba inovasi produk baru,Jarang mencoba strategi pemasaran baru,0.0
Suka menawarkan produk dengan harga terjangkau,Suka menawarkan produk dengan harga premium,0.0
Senang bekerja dengan tim yang solid,Senang bekerja dengan tim yang independen,0.0
Pernah mengalami kendala besar dalam bisnis,Pernah mengalami kemajuan pesat dalam bisnis,0.0
Sering menawarkan produk secara bundling,Sering menawarkan produk secara terpisah,0.0
Jarang menggunakan iklan di media sosial,Jarang menggunakan iklan di media cetak,0.0
Suka berbisnis dengan cara konvensional,Suka berbisnis dengan cara modern,0.0
Senang melakukan riset pasar untuk produk baru,Senang melakukan riset pasar untuk produk lama,0.0
Pernah mendirikan bisnis di bidang teknologi,Pernah mendirikan bisnis di bidang jasa,0.0
Tidak suka minum kopi di kafe,Tidak suka minum kopi di warung,0.0
Sering mampir ke kopi Kenangan,Sering mampir ke Starbucks,0.0
Jarang pergi ke kafe untuk ngopi,Jarang pergi ke kafe untuk makan,0.0
Suka menikmati kopi di kedai kopi lokal,Suka menikmati kopi di kedai kopi internasional,0.0
Senang mengunjungi kafe yang nyaman,Senang mengunjungi kafe yang ramai,0.0
Pernah mencoba kopi di kafe ternama,Pernah mencoba kopi di kafe lokal,0.0
Tidak suka nongkrong di kafe besar,Tidak suka nongkrong di kafe kecil,0.0
Sering memesan kopi melalui aplikasi,Sering memesan makanan melalui aplikasi,0.0
Jarang membeli kopi di kafe mahal,Jarang membeli kopi di kafe murah,0.0
Suka mencoba varian kopi baru di kafe,Suka mencoba varian kopi klasik di kafe,0.0
Senang berkumpul di kafe dengan teman-teman,Senang berkumpul di rumah dengan teman-teman,0.0
Pernah mencoba kopi kenangan,Pernah mencoba kopi starbucks,0.0
Tidak pernah membeli kopi di kedai kopi terkenal,Tidak pernah membeli kopi di kedai kopi kecil,0.0
Sering membeli kopi di kafe yang instagramable,Sering membeli kopi di kafe sederhana,0.0
Jarang menikmati kopi dengan teman-teman,Jarang menikmati kopi sendirian,0.0
Suka minum kopi sambil bekerja di kafe,Suka minum kopi sambil duduk di rumah,0.0
Senang berkunjung ke kafe dengan suasana yang tenang,Senang berkunjung ke kafe dengan suasana yang ramai,0.0
Pernah menikmati kopi di kafe dengan pemandangan indah,Pernah menikmati kopi di kafe dengan suasana hangat,0.0
Tidak suka minum kopi hitam,Tidak suka minum kopi susu,0.0
Sering mencoba berbagai jenis kopi dari berbagai kafe,Sering mencoba kopi hanya dari satu kafe,0.0
Jarang membeli kopi kekinian,Jarang membeli kopi tradisional,0.0
Suka menikmati kopi dengan dessert,Suka menikmati kopi dengan makanan berat,0.0
Senang mencoba menu kopi baru setiap kali ke kafe,Senang memilih kopi yang sudah familiar di kafe,0.0
Pernah mencoba kopi cold brew,Pernah mencoba kopi latte,0.0
Tidak pernah membeli kopi yang lebih dari 30 ribu,Tidak pernah membeli kopi yang lebih dari 10 ribu,0.0
Sering memesan kopi dari Starbucks,Sering memesan kopi dari Kopi Kenangan,0.0
Jarang membeli kopi di kafe populer,Jarang membeli kopi di kafe kecil,0.0
Suka menikmati kopi sambil bekerja di kafe,Suka menikmati kopi sambil bersantai di rumah,0.0
Senang mencoba menu spesial di kafe kopi kekinian,Senang mencoba menu kopi klasik di kafe,0.0
Pernah minum kopi dengan rasa unik di kafe,Pernah minum kopi dengan rasa biasa di kafe,0.0
Tidak suka kopi yang terlalu manis,Tidak suka kopi yang terlalu pahit,0.0
Sering memilih kafe yang menyediakan kopi terbaik,Sering memilih kafe yang menyediakan kopi dengan harga murah,0.0
Jarang pergi ke kafe saat weekend,Jarang pergi ke kafe saat weekdays,0.0
Suka nongkrong di kafe sambil ngopi,Suka nongkrong di restoran sambil makan,0.0
Senang mencoba menu baru dari kopi Kenangan,Senang mencoba menu baru dari Starbucks,0.0
Pernah mencoba kopi dengan rasa unik,Pernah mencoba kopi dengan rasa tradisional,0.0
Tidak pernah membeli kopi susu,Tidak pernah membeli kopi hitam,0.0
Sering memilih kopi dengan rasa manis,Sering memilih kopi dengan rasa pahit,0.0
Jarang memilih kafe dengan harga kopi mahal,Jarang memilih kafe dengan harga kopi murah,0.0
Suka memilih kafe dengan suasana cozy,Suka memilih kafe dengan suasana elegan,0.0
Senang memilih kafe dengan pelayanan yang cepat,Senang memilih kafe dengan pelayanan yang ramah,0.0
Pernah memesan kopi menggunakan aplikasi,Pernah memesan kopi secara langsung,0.0
Tidak pernah membeli kopi di luar negeri,Tidak pernah membeli kopi di luar kota,0.0
Sering membeli kopi di kedai kopi kecil,Sering membeli kopi di kedai kopi besar,0.0
Jarang membeli kopi di kafe dengan harga premium,Jarang membeli kopi di kafe dengan harga terjangkau,0.0
Suka menikmati kopi dengan teman-teman,Suka menikmati kopi sendirian,0.0
Senang membeli kopi di tempat yang terkenal,Senang membeli kopi di tempat yang tidak terkenal,0.0
Pernah mencoba berbagai jenis kopi di berbagai kafe,Pernah mencoba satu jenis kopi di satu kafe,0.0
Tidak suka kopi rasa coklat,Tidak suka kopi rasa caramel,0.0
Sering membeli kopi latte,Sering membeli kopi cappuccino,0.0
Jarang membeli kopi dengan tambahan topping,Jarang membeli kopi dengan tambahan es krim,0.0
Suka memilih kopi dengan rasa original,Suka memilih kopi dengan rasa varian,0.0
Senang pergi ke kafe yang dekat dengan kantor,Senang pergi ke kafe yang dekat dengan rumah,0.0
Pernah memesan kopi dengan topping unik,Pernah memesan kopi dengan topping standar,0.0
Tidak suka kopi yang terlalu dingin,Tidak suka kopi yang terlalu panas,0.0
Sering memilih kopi dengan rasa kekinian,Sering memilih kopi dengan rasa klasik,0.0
Jarang membeli kopi di kedai kopi yang baru buka,Jarang membeli kopi di kedai kopi yang sudah lama,0.0
Suka menikmati kopi sambil bersantai di kafe,Suka menikmati kopi sambil bekerja di kafe,0.0
Senang memesan kopi dengan berbagai pilihan rasa,Senang memesan kopi dengan pilihan rasa sederhana,0.0
Pernah mencoba kopi dari berbagai merek terkenal,Pernah mencoba kopi dari merek lokal,0.0
Tidak suka kopi yang terlalu asam,Tidak suka kopi yang terlalu manis,0.0
